"BuyerName", "BuyerLocation", "BuyerPhone", "BuyerEmail"
"John Doe", "New York, NY", "555-1234", "johndoe@gmail.com"
"Jane Smith", "Los Angeles, CA", "555-5678", "janesmith@gmail.com"
"Bob Johnson", "Chicago, IL", "555-8765", "bobjohnson@outlook.com"
"Emily Davis", "Houston, TX", "555-4321", "edavis@aol.com"
"Michael Brown", "Phoenix, AZ", "555-6789", "brownm@gmail.com"
"Sarah Wilson", "Philadelphia, PA", "555-3456", "sarwilson@yahoo.com"
"David Lee", "San Antonio, TX", "555-7890", "dlee@gmail.com"
"Laura Garcia", "San Diego, CA", "555-2345", "garcialaura@icloud.com"
"Chris Martinez", "Dallas, TX", "555-0987", "chrismartinez@gmail.com"
"Jessica Taylor", "San Jose, CA", "555-6543", "jtaylor@aol.com"
